time=1692884202.618068 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692884202.618524 concurrency=750
time=1692884203.659604 latency=3:99:313:489:716:(300)ms latency95=617ms latency99=677ms requests=767 option1=0 option2=0 errors=0 throughput=736rps ql=10 rr=0.00% cr=0.00% accRequests=767 accOption1=0 accOption2=0 accLatency=3:99:313:489:716:(300)ms accLatency95=617ms accLatency99=677ms accOpenQueuing=189 accErrors=0
time=1692884204.660671 latency=3:4:5:7:38:(6)ms latency95=10ms latency99=19ms requests=748 option1=0 option2=0 errors=0 throughput=747rps ql=7 rr=0.00% cr=0.00% accRequests=1515 accOption1=0 accOption2=0 accLatency=3:5:9:318:716:(155)ms accLatency95=560ms accLatency99=660ms accOpenQueuing=193 accErrors=0
time=1692884205.662248 latency=3:4:5:6:48:(6)ms latency95=10ms latency99=34ms requests=753 option1=0 option2=0 errors=0 throughput=752rps ql=2 rr=0.00% cr=0.00% accRequests=2268 accOption1=0 accOption2=0 accLatency=3:4:6:109:716:(105)ms accLatency95=528ms accLatency99=632ms accOpenQueuing=196 accErrors=0
time=1692884206.664396 latency=3:4:4:5:11:(5)ms latency95=7ms latency99=9ms requests=763 option1=0 option2=0 errors=0 throughput=761rps ql=0 rr=0.00% cr=0.00% accRequests=3031 accOption1=0 accOption2=0 accLatency=3:4:5:10:716:(80)ms accLatency95=504ms accLatency99=619ms accOpenQueuing=200 accErrors=0
time=1692884207.667305 latency=3:4:4:5:11:(5)ms latency95=7ms latency99=9ms requests=725 option1=0 option2=0 errors=0 throughput=723rps ql=2 rr=0.00% cr=0.00% accRequests=3756 accOption1=0 accOption2=0 accLatency=3:4:5:9:716:(66)ms accLatency95=490ms accLatency99=617ms accOpenQueuing=204 accErrors=0
time=1692884208.672230 latency=3:4:4:5:11:(5)ms latency95=6ms latency99=8ms requests=740 option1=0 option2=0 errors=0 throughput=736rps ql=3 rr=0.00% cr=0.00% accRequests=4496 accOption1=0 accOption2=0 accLatency=3:4:5:7:716:(56)ms accLatency95=462ms accLatency99=600ms accOpenQueuing=206 accErrors=0
time=1692884209.675878 latency=3:3:4:4:12:(4)ms latency95=6ms latency99=8ms requests=797 option1=0 option2=0 errors=0 throughput=794rps ql=0 rr=0.00% cr=0.00% accRequests=5293 accOption1=0 accOption2=0 accLatency=3:4:5:6:716:(48)ms accLatency95=428ms accLatency99=585ms accOpenQueuing=208 accErrors=0
time=1692884210.680586 latency=3:4:4:5:8:(4)ms latency95=6ms latency99=6ms requests=754 option1=0 option2=0 errors=0 throughput=750rps ql=2 rr=0.00% cr=0.00% accRequests=6047 accOption1=0 accOption2=0 accLatency=3:4:5:6:716:(42)ms accLatency95=380ms accLatency99=582ms accOpenQueuing=212 accErrors=0
time=1692884211.685671 latency=3:4:4:5:9:(4)ms latency95=6ms latency99=7ms requests=781 option1=0 option2=0 errors=0 throughput=777rps ql=3 rr=0.00% cr=0.00% accRequests=6828 accOption1=0 accOption2=0 accLatency=3:4:4:6:716:(38)ms accLatency95=341ms accLatency99=577ms accOpenQueuing=215 accErrors=0
time=1692884212.690980 latency=3:4:4:5:10:(5)ms latency95=6ms latency99=8ms requests=755 option1=0 option2=0 errors=0 throughput=751rps ql=2 rr=0.00% cr=0.00% accRequests=7583 accOption1=0 accOption2=0 accLatency=3:4:4:5:716:(35)ms accLatency95=317ms accLatency99=560ms accOpenQueuing=220 accErrors=0
time=1692884213.697171 latency=3:4:4:5:8:(4)ms latency95=6ms latency99=6ms requests=743 option1=0 option2=0 errors=0 throughput=738rps ql=4 rr=0.00% cr=0.00% accRequests=8326 accOption1=0 accOption2=0 accLatency=3:4:4:5:716:(32)ms accLatency95=281ms accLatency99=554ms accOpenQueuing=222 accErrors=0
time=1692884214.704135 latency=3:4:4:5:15:(5)ms latency95=6ms latency99=9ms requests=675 option1=0 option2=0 errors=0 throughput=670rps ql=6 rr=0.00% cr=0.00% accRequests=9001 accOption1=0 accOption2=0 accLatency=3:4:4:5:716:(30)ms accLatency95=244ms accLatency99=551ms accOpenQueuing=222 accErrors=0
time=1692884215.711839 latency=3:4:4:5:8:(5)ms latency95=6ms latency99=7ms requests=740 option1=0 option2=0 errors=0 throughput=734rps ql=4 rr=0.00% cr=0.00% accRequests=9741 accOption1=0 accOption2=0 accLatency=3:4:4:5:716:(28)ms accLatency95=185ms accLatency99=550ms accOpenQueuing=226 accErrors=0
time=1692884216.720564 latency=3:4:4:5:10:(4)ms latency95=6ms latency99=8ms requests=770 option1=0 option2=0 errors=0 throughput=763rps ql=4 rr=0.00% cr=0.00% accRequests=10511 accOption1=0 accOption2=0 accLatency=3:4:4:5:716:(26)ms accLatency95=147ms accLatency99=540ms accOpenQueuing=228 accErrors=0
