time=1692871851.983079 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692871851.983472 concurrency=250
time=1692871852.998933 latency=3:8:13:17:76:(17)ms latency95=58ms latency99=75ms requests=249 option1=0 option2=0 errors=0 throughput=245rps ql=0 rr=0.00% cr=0.00% accRequests=249 accOption1=0 accOption2=0 accLatency=3:8:13:17:76:(17)ms accLatency95=58ms accLatency99=75ms accOpenQueuing=3 accErrors=0
time=1692871853.999389 latency=3:4:5:8:56:(8)ms latency95=26ms latency99=47ms requests=245 option1=0 option2=0 errors=0 throughput=245rps ql=4 rr=0.00% cr=0.00% accRequests=494 accOption1=0 accOption2=0 accLatency=3:5:8:13:76:(12)ms accLatency95=43ms accLatency99=64ms accOpenQueuing=9 accErrors=0
time=1692871855.000069 latency=3:4:5:6:11:(5)ms latency95=9ms latency99=10ms requests=262 option1=0 option2=0 errors=0 throughput=262rps ql=3 rr=0.00% cr=0.00% accRequests=756 accOption1=0 accOption2=0 accLatency=3:5:6:10:76:(10)ms accLatency95=35ms accLatency99=59ms accOpenQueuing=10 accErrors=0
time=1692871856.000976 latency=3:4:5:5:10:(5)ms latency95=8ms latency99=9ms requests=262 option1=0 option2=0 errors=0 throughput=262rps ql=3 rr=0.00% cr=0.00% accRequests=1018 accOption1=0 accOption2=0 accLatency=3:4:5:9:76:(9)ms accLatency95=26ms accLatency99=58ms accOpenQueuing=12 accErrors=0
time=1692871857.001923 latency=3:4:5:5:11:(5)ms latency95=8ms latency99=10ms requests=259 option1=0 option2=0 errors=0 throughput=259rps ql=2 rr=0.00% cr=0.00% accRequests=1277 accOption1=0 accOption2=0 accLatency=3:4:5:8:76:(8)ms accLatency95=18ms accLatency99=57ms accOpenQueuing=12 accErrors=0
time=1692871858.003221 latency=3:4:4:5:10:(5)ms latency95=7ms latency99=8ms requests=259 option1=0 option2=0 errors=0 throughput=259rps ql=1 rr=0.00% cr=0.00% accRequests=1536 accOption1=0 accOption2=0 accLatency=3:4:5:7:76:(7)ms accLatency95=17ms accLatency99=56ms accOpenQueuing=12 accErrors=0
time=1692871859.004605 latency=3:4:5:6:9:(5)ms latency95=8ms latency99=8ms requests=226 option1=0 option2=0 errors=0 throughput=226rps ql=0 rr=0.00% cr=0.00% accRequests=1762 accOption1=0 accOption2=0 accLatency=3:4:5:7:76:(7)ms accLatency95=16ms accLatency99=48ms accOpenQueuing=15 accErrors=0
time=1692871860.005964 latency=3:4:5:5:8:(5)ms latency95=7ms latency99=7ms requests=266 option1=0 option2=0 errors=0 throughput=266rps ql=0 rr=0.00% cr=0.00% accRequests=2028 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(7)ms accLatency95=15ms accLatency99=47ms accOpenQueuing=15 accErrors=0
time=1692871861.007647 latency=3:4:5:5:12:(5)ms latency95=8ms latency99=9ms requests=231 option1=0 option2=0 errors=0 throughput=231rps ql=0 rr=0.00% cr=0.00% accRequests=2259 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(7)ms accLatency95=14ms accLatency99=45ms accOpenQueuing=17 accErrors=0
time=1692871862.009402 latency=3:4:5:5:9:(5)ms latency95=7ms latency99=8ms requests=247 option1=0 option2=0 errors=0 throughput=247rps ql=0 rr=0.00% cr=0.00% accRequests=2506 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=13ms accLatency99=43ms accOpenQueuing=17 accErrors=0
time=1692871863.011351 latency=3:4:5:6:9:(5)ms latency95=8ms latency99=9ms requests=225 option1=0 option2=0 errors=0 throughput=225rps ql=0 rr=0.00% cr=0.00% accRequests=2731 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=13ms accLatency99=39ms accOpenQueuing=18 accErrors=0
time=1692871864.014092 latency=3:4:5:5:8:(5)ms latency95=7ms latency99=8ms requests=246 option1=0 option2=0 errors=0 throughput=245rps ql=1 rr=0.00% cr=0.00% accRequests=2977 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=12ms accLatency99=39ms accOpenQueuing=20 accErrors=0
time=1692871865.016721 latency=3:4:5:6:9:(5)ms latency95=7ms latency99=9ms requests=250 option1=0 option2=0 errors=0 throughput=249rps ql=2 rr=0.00% cr=0.00% accRequests=3227 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=11ms accLatency99=38ms accOpenQueuing=22 accErrors=0
time=1692871866.019569 latency=3:4:5:5:10:(5)ms latency95=7ms latency99=9ms requests=259 option1=0 option2=0 errors=0 throughput=258rps ql=3 rr=0.00% cr=0.00% accRequests=3486 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=11ms accLatency99=37ms accOpenQueuing=24 accErrors=0
time=1692871867.022060 latency=3:4:5:5:10:(5)ms latency95=8ms latency99=10ms requests=238 option1=0 option2=0 errors=0 throughput=237rps ql=1 rr=0.00% cr=0.00% accRequests=3724 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=10ms accLatency99=36ms accOpenQueuing=25 accErrors=0
time=1692871868.024712 latency=3:4:5:5:10:(5)ms latency95=6ms latency99=9ms requests=264 option1=0 option2=0 errors=0 throughput=263rps ql=1 rr=0.00% cr=0.00% accRequests=3988 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=10ms accLatency99=33ms accOpenQueuing=26 accErrors=0
time=1692871869.027599 latency=3:4:4:5:11:(5)ms latency95=7ms latency99=10ms requests=278 option1=0 option2=0 errors=0 throughput=277rps ql=3 rr=0.00% cr=0.00% accRequests=4266 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=10ms accLatency99=31ms accOpenQueuing=26 accErrors=0
time=1692871870.030744 latency=3:4:5:6:10:(5)ms latency95=8ms latency99=9ms requests=251 option1=0 option2=0 errors=0 throughput=250rps ql=1 rr=0.00% cr=0.00% accRequests=4517 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=10ms accLatency99=30ms accOpenQueuing=27 accErrors=0
time=1692871871.033981 latency=3:4:5:6:13:(5)ms latency95=8ms latency99=11ms requests=251 option1=0 option2=0 errors=0 throughput=250rps ql=1 rr=0.00% cr=0.00% accRequests=4768 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=10ms accLatency99=29ms accOpenQueuing=27 accErrors=0
time=1692871872.037530 latency=3:4:5:5:8:(5)ms latency95=7ms latency99=8ms requests=236 option1=0 option2=0 errors=0 throughput=235rps ql=2 rr=0.00% cr=0.00% accRequests=5004 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=9ms accLatency99=26ms accOpenQueuing=29 accErrors=0
time=1692871873.041178 latency=3:4:4:5:9:(5)ms latency95=7ms latency99=8ms requests=246 option1=0 option2=0 errors=0 throughput=245rps ql=0 rr=0.00% cr=0.00% accRequests=5250 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=9ms accLatency99=26ms accOpenQueuing=31 accErrors=0
time=1692871874.045401 latency=3:4:5:5:9:(5)ms latency95=7ms latency99=8ms requests=242 option1=0 option2=0 errors=0 throughput=241rps ql=2 rr=0.00% cr=0.00% accRequests=5492 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=9ms accLatency99=23ms accOpenQueuing=33 accErrors=0
time=1692871875.049285 latency=3:4:5:5:12:(5)ms latency95=7ms latency99=8ms requests=254 option1=0 option2=0 errors=0 throughput=253rps ql=3 rr=0.00% cr=0.00% accRequests=5746 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(6)ms accLatency95=9ms accLatency99=20ms accOpenQueuing=35 accErrors=0
time=1692871876.053675 latency=3:4:4:5:11:(5)ms latency95=7ms latency99=10ms requests=291 option1=0 option2=0 errors=0 throughput=290rps ql=0 rr=0.00% cr=0.00% accRequests=6037 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(5)ms accLatency95=9ms accLatency99=19ms accOpenQueuing=36 accErrors=0
time=1692871877.058361 latency=3:4:5:6:10:(5)ms latency95=8ms latency99=9ms requests=241 option1=0 option2=0 errors=0 throughput=240rps ql=0 rr=0.00% cr=0.00% accRequests=6278 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(5)ms accLatency95=9ms accLatency99=18ms accOpenQueuing=36 accErrors=0
time=1692871878.063379 latency=3:4:5:5:11:(5)ms latency95=7ms latency99=9ms requests=239 option1=0 option2=0 errors=0 throughput=238rps ql=1 rr=0.00% cr=0.00% accRequests=6517 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(5)ms accLatency95=9ms accLatency99=18ms accOpenQueuing=36 accErrors=0
time=1692871879.068640 latency=3:4:4:5:11:(5)ms latency95=8ms latency99=10ms requests=260 option1=0 option2=0 errors=0 throughput=259rps ql=0 rr=0.00% cr=0.00% accRequests=6777 accOption1=0 accOption2=0 accLatency=3:4:5:6:76:(5)ms accLatency95=9ms accLatency99=18ms accOpenQueuing=39 accErrors=0
