time=1692887193.841273 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692887193.841691 concurrency=1500
time=1692887194.957417 latency=56:542:634:692:897:(587)ms latency95=754ms latency99=845ms requests=349 option1=0 option2=0 errors=0 throughput=313rps ql=841 rr=0.00% cr=0.00% accRequests=349 accOption1=0 accOption2=0 accLatency=56:542:634:692:897:(587)ms accLatency95=754ms accLatency99=845ms accOpenQueuing=12 accErrors=0
time=1692887195.957982 latency=490:880:1091:1317:1914:(1098)ms latency95=1590ms latency99=1765ms requests=581 option1=0 option2=0 errors=0 throughput=581rps ql=1124 rr=0.00% cr=0.00% accRequests=930 accOption1=0 accOption2=0 accLatency=56:662:860:1170:1914:(906)ms accLatency95=1476ms accLatency99=1758ms accOpenQueuing=115 accErrors=0
time=1692887196.959051 latency=185:716:1149:1477:2669:(1130)ms latency95=1981ms latency99=2265ms requests=2497 option1=0 option2=0 errors=0 throughput=2494rps ql=690 rr=0.00% cr=0.00% accRequests=3427 accOption1=0 accOption2=0 accLatency=56:686:1067:1386:2669:(1070)ms accLatency95=1892ms accLatency99=2211ms accOpenQueuing=1589 accErrors=0
time=1692887197.967133 latency=3:6:125:557:2721:(363)ms latency95=1476ms latency99=1931ms requests=2601 option1=0 option2=0 errors=0 throughput=2580rps ql=9 rr=0.00% cr=0.00% accRequests=6028 accOption1=0 accOption2=0 accLatency=3:183:715:1232:2721:(765)ms accLatency95=1805ms accLatency99=2131ms accOpenQueuing=2703 accErrors=0
time=1692887198.974687 latency=2:4:5:6:20:(6)ms latency95=12ms latency99=15ms requests=1570 option1=0 option2=0 errors=0 throughput=1558rps ql=15 rr=0.00% cr=0.00% accRequests=7598 accOption1=0 accOption2=0 accLatency=2:6:473:1113:2721:(608)ms accLatency95=1729ms accLatency99=2090ms accOpenQueuing=2712 accErrors=0
time=1692887199.985478 latency=3:4:5:7:19:(6)ms latency95=11ms latency99=17ms requests=1530 option1=0 option2=0 errors=0 throughput=1514rps ql=6 rr=0.00% cr=0.00% accRequests=9128 accOption1=0 accOption2=0 accLatency=2:5:169:969:2721:(507)ms accLatency95=1683ms accLatency99=2072ms accOpenQueuing=2718 accErrors=0
time=1692887200.997244 latency=3:5:6:9:32:(8)ms latency95=15ms latency99=26ms requests=1538 option1=0 option2=0 errors=0 throughput=1520rps ql=24 rr=0.00% cr=0.00% accRequests=10666 accOption1=0 accOption2=0 accLatency=2:5:13:836:2721:(435)ms accLatency95=1634ms accLatency99=2056ms accOpenQueuing=2731 accErrors=0
time=1692887202.010154 latency=3:4:5:6:15:(6)ms latency95=11ms latency99=13ms requests=1437 option1=0 option2=0 errors=0 throughput=1419rps ql=10 rr=0.00% cr=0.00% accRequests=12103 accOption1=0 accOption2=0 accLatency=2:5:9:711:2721:(384)ms accLatency95=1582ms accLatency99=2033ms accOpenQueuing=2740 accErrors=0
time=1692887203.025187 latency=2:4:5:7:17:(6)ms latency95=12ms latency99=15ms requests=1529 option1=0 option2=0 errors=0 throughput=1506rps ql=6 rr=0.00% cr=0.00% accRequests=13632 accOption1=0 accOption2=0 accLatency=2:5:8:619:2721:(342)ms accLatency95=1537ms accLatency99=2014ms accOpenQueuing=2745 accErrors=0
