time=1692877182.450154 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692877182.450453 concurrency=750
time=1692877183.500743 latency=3:34:158:355:640:(206)ms latency95=527ms latency99=599ms requests=770 option1=0 option2=0 errors=0 throughput=733rps ql=0 rr=0.00% cr=0.00% accRequests=770 accOption1=0 accOption2=0 accLatency=3:34:158:355:640:(206)ms accLatency95=527ms accLatency99=599ms accOpenQueuing=136 accErrors=0
time=1692877184.501802 latency=2:4:5:7:66:(6)ms latency95=10ms latency99=33ms requests=736 option1=0 option2=0 errors=0 throughput=735rps ql=2 rr=0.00% cr=0.00% accRequests=1506 accOption1=0 accOption2=0 accLatency=2:4:9:164:640:(108)ms accLatency95=480ms accLatency99=586ms accOpenQueuing=141 accErrors=0
time=1692877185.503269 latency=3:4:4:5:14:(5)ms latency95=9ms latency99=10ms requests=764 option1=0 option2=0 errors=0 throughput=763rps ql=0 rr=0.00% cr=0.00% accRequests=2270 accOption1=0 accOption2=0 accLatency=2:4:5:45:640:(73)ms accLatency95=442ms accLatency99=545ms accOpenQueuing=143 accErrors=0
time=1692877186.505549 latency=3:4:4:5:45:(5)ms latency95=9ms latency99=30ms requests=735 option1=0 option2=0 errors=0 throughput=733rps ql=3 rr=0.00% cr=0.00% accRequests=3005 accOption1=0 accOption2=0 accLatency=2:4:5:9:640:(57)ms accLatency95=405ms accLatency99=533ms accOpenQueuing=148 accErrors=0
time=1692877187.508681 latency=3:4:4:5:9:(4)ms latency95=6ms latency99=8ms requests=757 option1=0 option2=0 errors=0 throughput=755rps ql=3 rr=0.00% cr=0.00% accRequests=3762 accOption1=0 accOption2=0 accLatency=2:4:5:8:640:(46)ms accLatency95=358ms accLatency99=527ms accOpenQueuing=151 accErrors=0
time=1692877188.512902 latency=3:4:4:5:9:(4)ms latency95=6ms latency99=7ms requests=791 option1=0 option2=0 errors=0 throughput=788rps ql=2 rr=0.00% cr=0.00% accRequests=4553 accOption1=0 accOption2=0 accLatency=2:4:4:6:640:(39)ms accLatency95=318ms accLatency99=511ms accOpenQueuing=156 accErrors=0
time=1692877189.516785 latency=3:4:4:5:12:(5)ms latency95=7ms latency99=11ms requests=748 option1=0 option2=0 errors=0 throughput=745rps ql=2 rr=0.00% cr=0.00% accRequests=5301 accOption1=0 accOption2=0 accLatency=2:4:4:6:640:(34)ms accLatency95=281ms accLatency99=504ms accOpenQueuing=157 accErrors=0
time=1692877190.521484 latency=3:4:4:5:10:(4)ms latency95=6ms latency99=7ms requests=712 option1=0 option2=0 errors=0 throughput=709rps ql=7 rr=0.00% cr=0.00% accRequests=6013 accOption1=0 accOption2=0 accLatency=2:4:4:6:640:(31)ms accLatency95=259ms accLatency99=497ms accOpenQueuing=161 accErrors=0
time=1692877191.526668 latency=3:4:4:5:8:(4)ms latency95=6ms latency99=7ms requests=718 option1=0 option2=0 errors=0 throughput=714rps ql=6 rr=0.00% cr=0.00% accRequests=6731 accOption1=0 accOption2=0 accLatency=2:4:4:5:640:(28)ms accLatency95=221ms accLatency99=485ms accOpenQueuing=168 accErrors=0
