Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,0.5795328361046901,0.4794,4.8,28.976641805234507,50.4,0.5730335714571015,1250.0,165.0,50,1692803278465.489,1692803578470.3242,0m,0m
service-1,app,1.0990874608980543,0.9728,4.8,54.95437304490271,99.2,0.5393327902682218,1150.0,165.0,100,1692803603360.461,1692803903365.6052,0m,0m
service-1,app,2.4986347749301965,1.0028,4.8,124.93173874650984,246.4,0.5108127856911135,1150.0,165.0,250,1692803928562.024,1692804228567.5635,0m,0m
service-1,app,4.464196541550314,1.0196,4.8242038216560506,223.2098270775157,498.0,0.44829981313283834,1250.0,165.0,500,1692804253217.1204,1692804553222.9368,0m,0m
service-1,app,6.051393242204358,1.0932,4.848215701823949,302.5696621102179,749.6,0.4054110930362766,1150.0,165.0,750,1692804578262.3896,1692804878268.1404,0m,0m
service-1,app,7.041674851437499,1.2268,4.879150177046449,352.0837425718749,1006.4,0.35233387307123715,1250.0,165.0,1000,1692804903395.4006,1692805203401.0022,0m,0m
service-1,app,7.546656199562709,2.9712,5.944760820045564,377.33280997813546,1490.8,0.25258827040948495,1250.0,165.0,1500,1692805228295.1118,1692805528301.4429,0m,0m
