Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,0.5493398909708888,0.4972,4.8,27.46699454854444,49.8,0.5497402756135698,1150.0,165.0,50,1692805638887.2385,1692805938892.179,0m,0m
service-1,app,1.036802364927926,1.0,4.8,51.8401182463963,100.4,0.5080095788580841,1250.0,165.0,100,1692805963809.517,1692806263815.5752,0m,0m
service-1,app,2.4081658880702905,1.0424,4.8031071136549475,120.40829440351453,253.8,0.4709159346937481,1150.0,165.0,250,1692806288843.1863,1692806588848.5461,0m,0m
service-1,app,4.442394074707835,1.052,4.819959595959596,222.1197037353917,499.4,0.438389978457209,1250.0,165.0,500,1692806614003.9832,1692806914009.6519,0m,0m
service-1,app,6.265163180216307,1.2372,4.8149645576266735,313.25815901081535,756.4,0.4145882283859789,1150.0,165.0,750,1692806938958.9211,1692807238964.642,0m,0m
service-1,app,7.186476267697429,1.5564,4.913866501343253,359.32381338487147,1001.4,0.35859206481752004,1250.0,165.0,1000,1692807264011.4219,1692807564017.3923,0m,0m
service-1,app,8.706324180348922,2.6892,6.212438423645323,435.3162090174461,1500.0,0.29087011159791937,1150.0,165.0,1500,1692807589031.6028,1692807889037.2039,0m,0m
