Pod,Container,%CPU,%VM,RT [s],CPU_T [s],TH [rps],CPU_T/R [s],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
details,details,23.615871549382994,5.951912836896862,4.52624326310632,0.9446348619753198,486.1,0.0018259912850804474,1250.0,298.773043670609,750,1693317442475.4126,1693317863088.8777,4000m,1000M
details,details,22.417437763087154,6.868599983615958,5.7956989247311785,0.8966975105234861,494.2,0.0018393417069676576,1250.0,287.836236933798,1000,1693317884766.7825,1693318305363.453,4000m,1000M
