time=1692799358.780296 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692799358.780775 concurrency=250
time=1692799359.804060 latency=2:3:7:9:83:(12)ms latency95=56ms latency99=78ms requests=250 option1=0 option2=0 errors=0 throughput=244rps ql=4 rr=0.00% cr=0.00% accRequests=250 accOption1=0 accOption2=0 accLatency=2:3:7:9:83:(12)ms accLatency95=56ms accLatency99=78ms accOpenQueuing=2 accErrors=0
time=1692799360.804487 latency=2:3:3:7:55:(6)ms latency95=16ms latency99=54ms requests=239 option1=0 option2=0 errors=0 throughput=239rps ql=1 rr=0.00% cr=0.00% accRequests=489 accOption1=0 accOption2=0 accLatency=2:3:4:8:83:(9)ms accLatency95=49ms accLatency99=71ms accOpenQueuing=4 accErrors=0
time=1692799361.805138 latency=2:3:3:3:9:(3)ms latency95=7ms latency99=8ms requests=255 option1=0 option2=0 errors=0 throughput=255rps ql=1 rr=0.00% cr=0.00% accRequests=744 accOption1=0 accOption2=0 accLatency=2:3:3:7:83:(7)ms accLatency95=28ms accLatency99=58ms accOpenQueuing=5 accErrors=0
time=1692799362.805970 latency=2:3:3:3:9:(3)ms latency95=5ms latency99=7ms requests=292 option1=0 option2=0 errors=0 throughput=292rps ql=0 rr=0.00% cr=0.00% accRequests=1036 accOption1=0 accOption2=0 accLatency=2:3:3:6:83:(6)ms accLatency95=11ms accLatency99=57ms accOpenQueuing=6 accErrors=0
time=1692799363.807020 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=231 option1=0 option2=0 errors=0 throughput=231rps ql=3 rr=0.00% cr=0.00% accRequests=1267 accOption1=0 accOption2=0 accLatency=2:3:3:4:83:(5)ms accLatency95=10ms accLatency99=55ms accOpenQueuing=7 accErrors=0
time=1692799364.808398 latency=2:3:3:3:9:(3)ms latency95=4ms latency99=5ms requests=241 option1=0 option2=0 errors=0 throughput=241rps ql=1 rr=0.00% cr=0.00% accRequests=1508 accOption1=0 accOption2=0 accLatency=2:3:3:4:83:(5)ms accLatency95=9ms accLatency99=54ms accOpenQueuing=8 accErrors=0
time=1692799365.809767 latency=2:3:3:3:7:(3)ms latency95=4ms latency99=5ms requests=226 option1=0 option2=0 errors=0 throughput=226rps ql=1 rr=0.00% cr=0.00% accRequests=1734 accOption1=0 accOption2=0 accLatency=2:3:3:4:83:(5)ms accLatency95=9ms accLatency99=53ms accOpenQueuing=9 accErrors=0
time=1692799366.811097 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=5ms requests=228 option1=0 option2=0 errors=0 throughput=228rps ql=0 rr=0.00% cr=0.00% accRequests=1962 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(5)ms accLatency95=9ms accLatency99=52ms accOpenQueuing=9 accErrors=0
time=1692799367.812583 latency=2:3:3:3:7:(3)ms latency95=4ms latency99=4ms requests=245 option1=0 option2=0 errors=0 throughput=245rps ql=1 rr=0.00% cr=0.00% accRequests=2207 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=8ms accLatency99=51ms accOpenQueuing=10 accErrors=0
time=1692799368.814365 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=242 option1=0 option2=0 errors=0 throughput=242rps ql=0 rr=0.00% cr=0.00% accRequests=2449 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=8ms accLatency99=49ms accOpenQueuing=12 accErrors=0
time=1692799369.816162 latency=2:2:2:2:4:(2)ms latency95=3ms latency99=4ms requests=237 option1=0 option2=0 errors=0 throughput=237rps ql=1 rr=0.00% cr=0.00% accRequests=2686 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=8ms accLatency99=44ms accOpenQueuing=12 accErrors=0
time=1692799370.818609 latency=2:2:3:3:5:(3)ms latency95=4ms latency99=4ms requests=273 option1=0 option2=0 errors=0 throughput=272rps ql=1 rr=0.00% cr=0.00% accRequests=2959 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=8ms accLatency99=36ms accOpenQueuing=13 accErrors=0
time=1692799371.820962 latency=2:3:3:3:4:(3)ms latency95=4ms latency99=4ms requests=242 option1=0 option2=0 errors=0 throughput=241rps ql=0 rr=0.00% cr=0.00% accRequests=3201 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=35ms accOpenQueuing=13 accErrors=0
time=1692799372.823685 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=243 option1=0 option2=0 errors=0 throughput=242rps ql=2 rr=0.00% cr=0.00% accRequests=3444 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=30ms accOpenQueuing=13 accErrors=0
time=1692799373.826047 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=5ms requests=248 option1=0 option2=0 errors=0 throughput=247rps ql=2 rr=0.00% cr=0.00% accRequests=3692 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=28ms accOpenQueuing=14 accErrors=0
time=1692799374.828667 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=247 option1=0 option2=0 errors=0 throughput=246rps ql=1 rr=0.00% cr=0.00% accRequests=3939 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=25ms accOpenQueuing=15 accErrors=0
time=1692799375.831404 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=267 option1=0 option2=0 errors=0 throughput=266rps ql=0 rr=0.00% cr=0.00% accRequests=4206 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=19ms accOpenQueuing=15 accErrors=0
time=1692799376.834368 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=237 option1=0 option2=0 errors=0 throughput=236rps ql=0 rr=0.00% cr=0.00% accRequests=4443 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=17ms accOpenQueuing=17 accErrors=0
time=1692799377.837517 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=254 option1=0 option2=0 errors=0 throughput=253rps ql=0 rr=0.00% cr=0.00% accRequests=4697 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=12ms accOpenQueuing=18 accErrors=0
time=1692799378.840720 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=254 option1=0 option2=0 errors=0 throughput=253rps ql=0 rr=0.00% cr=0.00% accRequests=4951 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(4)ms accLatency95=7ms accLatency99=12ms accOpenQueuing=18 accErrors=0
time=1692799379.844338 latency=2:3:3:3:7:(3)ms latency95=4ms latency99=5ms requests=270 option1=0 option2=0 errors=0 throughput=269rps ql=1 rr=0.00% cr=0.00% accRequests=5221 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=7ms accLatency99=11ms accOpenQueuing=19 accErrors=0
time=1692799380.848120 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=243 option1=0 option2=0 errors=0 throughput=242rps ql=2 rr=0.00% cr=0.00% accRequests=5464 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=6ms accLatency99=11ms accOpenQueuing=19 accErrors=0
time=1692799381.851898 latency=3:3:3:3:4:(3)ms latency95=4ms latency99=4ms requests=244 option1=0 option2=0 errors=0 throughput=243rps ql=0 rr=0.00% cr=0.00% accRequests=5708 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=5ms accLatency99=10ms accOpenQueuing=20 accErrors=0
time=1692799382.855843 latency=2:3:3:3:4:(3)ms latency95=4ms latency99=4ms requests=245 option1=0 option2=0 errors=0 throughput=244rps ql=1 rr=0.00% cr=0.00% accRequests=5953 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=5ms accLatency99=10ms accOpenQueuing=21 accErrors=0
time=1692799383.859934 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=245 option1=0 option2=0 errors=0 throughput=244rps ql=1 rr=0.00% cr=0.00% accRequests=6198 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=5ms accLatency99=10ms accOpenQueuing=21 accErrors=0
time=1692799384.864581 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=5ms requests=254 option1=0 option2=0 errors=0 throughput=253rps ql=0 rr=0.00% cr=0.00% accRequests=6452 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=5ms accLatency99=10ms accOpenQueuing=22 accErrors=0
time=1692799385.869768 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=250 option1=0 option2=0 errors=0 throughput=249rps ql=1 rr=0.00% cr=0.00% accRequests=6702 accOption1=0 accOption2=0 accLatency=2:3:3:3:83:(3)ms accLatency95=5ms accLatency99=9ms accOpenQueuing=23 accErrors=0
