Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,2.676051486743683,3.6552,4.89579831932773,133.80257433718415,49.6,2.7113950763883765,1250.0,295.0,50,1692878218283.292,1692878518288.5864,0m,0m
service-1,app,5.06761908575699,7.3128,4.946781115879828,253.38095428784945,99.4,2.541408493857962,1150.0,295.0,100,1692878543218.6208,1692878843223.8853,0m,0m
service-1,app,11.107055126104132,7.3136,6.671874999999998,555.3527563052066,251.0,2.1881511280741,1150.0,295.0,250,1692878868517.6572,1692879168523.124,0m,0m
service-1,app,18.10329061469357,7.3688,6.602459016393439,905.1645307346785,499.0,1.820121953200178,1250.0,295.0,500,1692879193672.2131,1692879493678.085,0m,0m
service-1,app,23.26966587107162,7.3952,6.731643356643354,1163.483293553581,753.2,1.5475757687929588,1150.0,295.0,750,1692879518827.2556,1692879818832.9092,0m,0m
service-1,app,27.884398336413227,7.432,7.237695749440709,1394.2199168206612,1001.0,1.392443617691024,1250.0,295.0,1000,1692879843797.2444,1692880143802.941,0m,0m
service-1,app,36.57106083694456,7.4528,15.656507413509054,1828.553041847228,1490.0,1.2265639834749618,1250.0,295.0,1500,1692880168795.5261,1692880468801.4124,0m,0m
