Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,3.413813880554072,7.7578,4.97489539748954,170.69069402770359,50.0,3.3670367974358193,1150.0,295.0,50,1692885240241.2175,1692885540247.2495,0m,0m
service-1,app,6.428742590723966,15.522,4.943999999999999,321.43712953619837,99.0,3.1769456955968227,1150.0,295.0,100,1692885565251.948,1692885865257.4363,0m,0m
service-1,app,14.840100241065556,15.5284,7.6413043478260825,742.0050120532778,247.0,2.9404221679903855,1150.0,295.0,250,1692885890307.5,1692886190312.986,0m,0m
service-1,app,25.23774924484926,15.586,7.862711864406776,1261.887462242463,503.8,2.5088378640847595,1250.0,295.0,500,1692886215315.521,1692886515321.3252,0m,0m
service-1,app,32.666104496861344,15.6516,8.427350427350424,1633.3052248430672,749.6,2.1691490208461257,1150.0,295.0,750,1692886540440.9417,1692886840446.404,0m,0m
service-1,app,39.415909387963794,15.6908,7.363731656184486,1970.7954693981894,1005.0,1.9471266505869629,1250.0,295.0,1000,1692886865276.9463,1692887165282.6836,0m,0m
service-1,app,47.52180582511342,15.8132,9.156474820143881,2376.090291255671,1499.0,1.5821719110676737,1150.0,295.0,1500,1692887190158.7551,1692887490164.0154,0m,0m
