Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,2.3847434961974305,2.2792,7.2380952380952355,119.23717480987152,50.2,2.371832209142829,1250.0,295.0,50,1692873537949.2688,1692873837954.8286,0m,0m
service-1,app,4.534321828519447,4.564,8.291095890410954,226.71609142597237,100.4,2.258128400657095,1250.0,295.0,100,1692873862669.2478,1692874162674.547,0m,0m
service-1,app,9.41149873769319,4.5696,9.056716417910447,470.57493688465945,249.0,1.8890799521271995,1150.0,295.0,250,1692874187353.9802,1692874487359.7366,0m,0m
service-1,app,14.43086579543413,4.6856,9.77566425120773,721.5432897717066,497.4,1.4454475461066176,1250.0,295.0,500,1692874512603.7356,1692874812609.8918,0m,0m
service-1,app,18.50595768887242,4.6976,24.150412603150784,925.2978844436209,759.2,1.2178096972059136,1150.0,295.0,750,1692874837569.0977,1692875137574.6487,0m,0m
service-1,app,20.001277911521676,4.6984,2425.0,1000.0638955760836,849.2,1.1760577776651684,1150.0,295.0,1000,1692875162554.0996,1692875462559.3655,0m,0m
service-1,app,20.002231531431054,4.6984,2425.0,1000.1115765715527,850.8,1.1754843015963075,1250.0,295.0,1500,1692875487493.184,1692875787498.9534,0m,0m
