Pod,Container,%CPU,%VM,RT [ms],CPU_T [ms],TH [rps],CPU_T/R [ms],REQ_S [B],RES_S [B],C_Load [rps],t_start [ms],t_end [ms],CPU [CPU],VM [B]
service-1,app,3.54401860951873,7.7526,4.955102040816326,177.2009304759365,48.8,3.6589309060641484,1150.0,295.0,50,1692887579860.2827,1692887879865.2974,0m,0m
service-1,app,6.640134362206704,15.5132,4.979014989293361,332.0067181103352,99.6,3.3603918837078464,1250.0,295.0,100,1692887904912.9924,1692888204918.3394,0m,0m
service-1,app,15.37492952801685,15.518,7.392561983471076,768.7464764008425,252.6,3.0418452307397352,1150.0,295.0,250,1692888230060.2446,1692888530065.678,0m,0m
service-1,app,26.565755561702794,15.5724,7.708812260536396,1328.2877780851397,504.2,2.6356063863517276,1250.0,295.0,500,1692888554767.1868,1692888854772.7168,0m,0m
service-1,app,34.04835882442604,15.646,8.79380053908356,1702.4179412213018,756.0,2.256069756506409,1150.0,295.0,750,1692888879822.032,1692889179826.921,0m,0m
service-1,app,40.65782654078305,15.6804,7.760286225402506,2032.8913270391524,999.4,2.0324002668612207,1150.0,295.0,1000,1692889204826.8137,1692889504831.9143,0m,0m
service-1,app,49.26237752668233,15.7668,9.583919929608445,2463.1188763341165,1503.0,1.637114466546849,1250.0,295.0,1500,1692889529613.6667,1692889829619.241,0m,0m
